"ano","mes","origin_station","delivered_packages","avg_operations_per_package","avg_lead_time_hours","avg_lead_time_days","example_shipment_id","example_shipment_operations","example_shipment_lead_time_days","example_shipment_station_sequence"
"2026","6","FM Hub_MG_Barbacena_01","26910","5.18","105.6","4.4","BR260000038993C","6","5.1","Bárbara Lima Ribeiro -> FM Hub_MG_Barbacena_01 -> SoC_MG_Betim -> SoC_BA_Simoes Filho -> LM Hub_MA_São Luís_01 -> XPT_MA_Pinheiro -> Deliver Stage"
"2026","6","FM Hub_MG_Juiz de Fora 03","1169432","3.76","75","3.13","BR260000014980C","5","3.8","T W INDUSTRIA E COMERCIO DO VESTUARIO LTDA -> FM Hub_MG_Juiz de Fora 03 -> SoC_PR_Curitiba -> SoC_RS_Gravataí_02 -> XPT_RS_Butiá -> Deliver Stage"
"2026","6","FM Hub_MG_Juiz de Fora 03","1169432","3.76","75","3.13","BR260000019642D","5","6.8","RADAR INSTRUMENTOS CATAGUASES LTDA -> FM Hub_MG_Juiz de Fora 03 -> SoC_SP_Cravinhos -> SoC_GO_Goiânia_02 -> LM Hub_PA_Belém -> Deliver Stage"
"2026","6","FM Hub_MG_Juiz de Fora 03","1169432","3.76","75","3.13","BR260000025873B","4","2","FM Hub_MG_Juiz de Fora 03 -> SoC_SP_Louveira -> LM Hub_SP_Marília -> XPT_SP_Tupã -> Deliver Stage"
"2026","6","FM Hub_MG_Juiz de Fora 03","1169432","3.76","75","3.13","BR2600000300949","4","2.9","BABYKUT LTDA -> FM Hub_MG_Juiz de Fora 03 -> SoC_MG_Betim -> LM Hub_BA_Vitória da Conquista -> Deliver Stage"
"2026","6","FM Hub_MG_Juiz de Fora 03","1169432","3.76","75","3.13","BR2600000310239","5","4.9","FM Hub_MG_Juiz de Fora 03 -> SoC_BA_Simoes Filho -> SoC_PE_Jaboatão dos Guararapes -> LM Hub_PB_JoãoPessoa_Industrial -> Deliver Stage -> LM Hub_PB_JoãoPessoa_Industrial -> Deliver Stage"
"2026","6","FM Hub_MG_Juiz de Fora 03","1169432","3.76","75","3.13","BR260000034317U","3","2.8","FM Hub_MG_Juiz de Fora 03 -> SoC_PR_Curitiba -> LM Hub_SC_Florianópolis -> Deliver Stage"
"2026","6","FM Hub_MG_Juiz de Fora 03","1169432","3.76","75","3.13","BR2600000464498","3","1","Vitrine Ltda -> FM Hub_MG_Juiz de Fora 03 -> LM Hub_MG_Contagem_01 -> Deliver Stage"
"2026","6","FM Hub_MG_Juiz de Fora 03","1169432","3.76","75","3.13","BR260000049457K","4","2.9","AGROPECUARIA MARTINS FERNANDES -> FM Hub_MG_Juiz de Fora 03 -> SoC_SP_São Bernardo do Campo -> LM Hub_SP_Mooca_02 -> Deliver Stage"
"2026","6","FM Hub_MG_Patos de Minas_02","24001","5.19","108.5","4.52","BR260000041770R","5","3","ESCOLA DE PROFISSOES MAGALHAES PINTO E GUIMARAES LTDA. -> FM Hub_MG_Patos de Minas_02 -> SoC_MG_Betim -> SoC_GO_Goiânia_02 -> LM Hub_GO_Goiânia_Aeroporto -> Deliver Stage"
"2026","6","FM Hub_SC_Blumenau","2617355","3.60","79.2","3.3","BR260000016458H","4","2.8","Valéria Jose Dos Santos -> FM Hub_SC_Blumenau -> SoC_SC_Itajaí -> LM Hub_SC_Araranguá -> Deliver Stage"
"2026","6","FM Hub_SC_Blumenau","2617355","3.60","79.2","3.3","BR260000016772Y","3","2.7","FM Hub_SC_Blumenau -> SoC_MG_Betim -> LM Hub_MG_Governador Valadares -> Deliver Stage"
"2026","6","FM Hub_SC_Blumenau","2617355","3.60","79.2","3.3","BR260000020030K","4","5.6","FM Hub_SC_Blumenau -> SoC_PR_Curitiba -> SoC_CE_Itaitinga -> LM Hub_CE_Caucaia -> Deliver Stage"
"2026","6","FM Hub_SC_Blumenau","2617355","3.60","79.2","3.3","BR260000020362Y","4","2.7","Pamplovest confecções ltda -> FM Hub_SC_Blumenau -> SoC_SP_Cravinhos -> LM Hub_SP_Barretos -> Deliver Stage"
"2026","6","FM Hub_SC_Blumenau","2617355","3.60","79.2","3.3","BR260000030316R","4","3.2","40.915.230 JOAO PAULO SABEL BENEVENUTTI -> FM Hub_SC_Blumenau -> SoC_SP_São Bernardo do Campo -> LM Hub_SP_Sumaré_Nova Veneza_1 -> Deliver Stage"
"2026","6","FM Hub_SC_Blumenau","2617355","3.60","79.2","3.3","BR260000032962P","4","2.7","FM Hub_SC_Blumenau -> SoC_PR_Curitiba -> LM Hub_PR_Londrina_Parque ABC II -> XPT_PR_Centenário do Sul -> Deliver Stage"
"2026","6","FM Hub_SC_Blumenau","2617355","3.60","79.2","3.3","BR260000041118T","4","4.8","ED KIDS MODA INFANTIL LTDA -> FM Hub_SC_Blumenau -> SoC_BA_Simoes Filho -> LM Hub_CE_Juazeiro do Norte -> Deliver Stage"
"2026","6","FM Hub_SC_Blumenau","2617355","3.60","79.2","3.3","BR260000041238S","7","7.8","Adriel Jaimes Knaul -> FM Hub_SC_Blumenau -> SoC_SP_São Bernardo do Campo -> LM Hub_RS_Porto Alegre_Canoas -> SoC_RS_Gravataí_02 -> SoC_SP_Louveira -> LM Hub_SP_Sumaré_Nova Veneza_1 -> Deliver Stage"
"2026","6","FM Hub_SC_Blumenau","2617355","3.60","79.2","3.3","BR2600000444954","4","2","Amigos da Pesca -> FM Hub_SC_Blumenau -> SoC_RS_Gravataí_02 -> LM Hub_RS_Pelotas -> Deliver Stage"
"2026","6","FM Hub_SC_Blumenau","2617355","3.60","79.2","3.3","BR2600000468829","3","3.6","FM Hub_SC_Blumenau -> SoC_SP_Cravinhos -> LM Hub_SP_Franca_Distrito_Indust -> Deliver Stage"
"2026","7","FM Hub_ES_Colatina_01","15178","5.90","104.8","4.37","BR260000062950K","6","4.4","Decor Colors Colatina -> FM Hub_ES_Colatina_01 -> SoC_RJ_Rio de Janeiro -> SoC_RJ_Duque de Caxias -> SoC_GO_Goiânia_02 -> LM Hub_DF_Brasília_Recanto_Emas -> Deliver Stage"
"2026","7","FM Hub_MG_Juiz de Fora 03","1159167","3.74","70.3","2.93","BR2600000002023","4","4.7","FM Hub_MG_Juiz de Fora 03 -> SoC_SP_Cravinhos -> SoC_GO_Goiânia_02 -> LM Hub_GO_Goiânia_Aeroporto -> Deliver Stage"
"2026","7","FM Hub_MG_Juiz de Fora 03","1159167","3.74","70.3","2.93","BR260000015049O","3","1.9","FM Hub_MG_Juiz de Fora 03 -> SoC_SP_São Bernardo do Campo -> LM Hub_SP_Jurubatuba -> Deliver Stage"
"2026","7","FM Hub_MG_Juiz de Fora 03","1159167","3.74","70.3","2.93","BR260000029433X","3","2.7","FM Hub_MG_Juiz de Fora 03 -> SoC_MG_Betim -> LM Hub_BA_Juazeiro -> Deliver Stage"
"2026","7","FM Hub_MG_Juiz de Fora 03","1159167","3.74","70.3","2.93","BR260000032761P","4","1.6","Alessandra Barbeto Schuchter Ubaldo-ME -> FM Hub_MG_Juiz de Fora 03 -> SoC_MG_Betim -> LM Hub_MG_Divinópolis -> Deliver Stage"
"2026","7","FM Hub_MG_Juiz de Fora 03","1159167","3.74","70.3","2.93","BR260000040265E","3","2.6","FM Hub_MG_Juiz de Fora 03 -> SoC_BA_Simoes Filho -> LM Hub_BA_Feira de Santana -> Deliver Stage"
"2026","7","FM Hub_SC_Blumenau","2096086","3.60","77.7","3.24","BR2600000025691","3","1.4","FM Hub_SC_Blumenau -> SoC_SP_São Bernardo do Campo -> LM Hub_SP_Mogi Mirim -> Deliver Stage"
"2026","7","FM Hub_SC_Blumenau","2096086","3.60","77.7","3.24","BR2600000051182","4","5.8","FM Hub_SC_Blumenau -> SoC_BA_Simoes Filho -> SoC_PE_Jaboatão dos Guararapes -> LM Hub_RN_Natal_01 -> Deliver Stage"
"2026","7","FM Hub_SC_Blumenau","2096086","3.60","77.7","3.24","BR260000006553F","4","3.8","Adriel Jaimes Knaul -> FM Hub_SC_Blumenau -> SoC_MG_Betim -> XPT_MG_Janaúba -> Deliver Stage"
"2026","7","FM Hub_SC_Blumenau","2096086","3.60","77.7","3.24","BR260000007884M","4","1.9","CHARMY TAY -> FM Hub_SC_Blumenau -> SoC_SP_São Bernardo do Campo -> LM Hub_MG_São José da Lapa -> Deliver Stage"
"2026","7","FM Hub_SC_Blumenau","2096086","3.60","77.7","3.24","BR2600000101419","3","5","FM Hub_SC_Blumenau -> SoC_BA_Simoes Filho -> XPT_SE_Lagarto -> Deliver Stage"
"2026","7","FM Hub_SC_Blumenau","2096086","3.60","77.7","3.24","BR2600000130927","3","4.1","FM Hub_SC_Blumenau -> SoC_RJ_Duque de Caxias -> LM Hub_RJ_Mage -> Deliver Stage"
"2026","7","FM Hub_SC_Blumenau","2096086","3.60","77.7","3.24","BR260000021295C","3","1.8","FM Hub_SC_Blumenau -> SoC_SP_São Bernardo do Campo -> LM Hub_SP_São Paulo_Lapa -> Deliver Stage"
